Date,Open,High,Low,Close,Adj Close,Volume
3/29/18,8766.709961,8780.019531,8714.769531,8740.969727,8740.969727,56165900
4/3/18,8682.870117,8691.120117,8612.599609,8630.929688,8630.929688,56930300
4/4/18,8627.299805,8629.019531,8521.419922,8553.69043,8553.69043,71229600
4/5/18,8678.5,8742.599609,8641.919922,8742.599609,8742.599609,69074900
4/6/18,8683.519531,8726.580078,8665.660156,8671.040039,8671.040039,51952800
4/9/18,8694.759766,8746.269531,8659.990234,8687.080078,8687.080078,39309200
4/10/18,8731.459961,8756.849609,8703.339844,8755.570313,8755.570313,54386400
4/11/18,8744.480469,8749.299805,8695.990234,8708.44043,8708.44043,40970200
4/12/18,8724.429688,8786.55957,8687.209961,8774.759766,8774.759766,41367100
4/13/18,8774.719727,8797.830078,8742.980469,8776.169922,8776.169922,46842500
4/16/18,8762.320313,8771.040039,8689.610352,8726.540039,8726.540039,44603700
4/17/18,8727.879883,8832.05957,8727.360352,8820.040039,8820.040039,47108800
4/18/18,8833.679688,8901.120117,8807.540039,8831.879883,8831.879883,57584500
4/19/18,8872.94043,8872.94043,8800.139648,8833.179688,8833.179688,62885700
4/20/18,8825.80957,8842.120117,8785.459961,8807.799805,8807.799805,75266400
4/23/18,8781.969727,8807.370117,8735.929688,8806.629883,8806.629883,75758300
4/24/18,8804.849609,8837.320313,8768.110352,8796.910156,8796.910156,56622200
4/25/18,8782.879883,8795.870117,8690.660156,8740.959961,8740.959961,82858500
4/26/18,8733.980469,8836.839844,8725.169922,8835.030273,8835.030273,48853300
4/27/18,8838.179688,8849.509766,8807.330078,8843.019531,8843.019531,37050200
4/30/18,8839.610352,8900.599609,8836.849609,8886.259766,8886.259766,44126500
5/2/18,8880.769531,8900.540039,8858.480469,8896.280273,8896.280273,63944000
5/3/18,8873.019531,8924.330078,8840.280273,8842.290039,8842.290039,45931200
5/4/18,8862.709961,8905.860352,8844.139648,8903.830078,8903.830078,41526200
5/7/18,8895.530273,8979.55957,8895.099609,8978.650391,8978.650391,43527500
5/8/18,8939.400391,8970.669922,8913.730469,8944.900391,8944.900391,48286000
5/9/18,8964.55957,8984.099609,8926.19043,8984.099609,8984.099609,45494500
5/11/18,8982.450195,9002.150391,8964.910156,8993.509766,8993.509766,52176700
5/14/18,9010.530273,9025.879883,8979.900391,9000.889648,9000.889648,38149100
5/15/18,8986.820313,9016.290039,8963.910156,8994.219727,8994.219727,43555100
5/16/18,8988.259766,9002.799805,8951.280273,8973.879883,8973.879883,49078600
5/17/18,8960.820313,8988.330078,8937.519531,8988.330078,8988.330078,33929300
5/18/18,8941.269531,8982.870117,8917.759766,8940.459961,8940.459961,53761600
5/22/18,8977.459961,8978.429688,8924.320313,8936.070313,8936.070313,47580700
5/23/18,8902.360352,8903.219727,8766.519531,8794.94043,8794.94043,68475700
5/24/18,8795.780273,8841.019531,8733.919922,8770.94043,8770.94043,50662000
5/25/18,8789.450195,8834.959961,8759.080078,8759.080078,8759.080078,47319700
5/28/18,8783.049805,8817.730469,8761.929688,8775.450195,8775.450195,29328600
5/29/18,8723.519531,8735.410156,8613.240234,8637.200195,8637.200195,77712700
5/30/18,8629.790039,8654.570313,8578.679688,8578.679688,8578.679688,57341600
5/31/18,8630.629883,8641.620117,8454.280273,8456.950195,8456.950195,106598200
6/1/18,8558.339844,8645.339844,8529.799805,8618.540039,8618.540039,66728800
6/4/18,8664.150391,8667.830078,8605.719727,8634.419922,8634.419922,39222500
6/5/18,8608.139648,8631.870117,8538.30957,8538.30957,8538.30957,47789300
6/6/18,8532.019531,8567.580078,8470.150391,8544.990234,8544.990234,49885700
6/7/18,8575.549805,8612.879883,8514.030273,8548.330078,8548.330078,43584500
6/8/18,8486.169922,8549.049805,8456.509766,8512.05957,8512.05957,48618100
6/11/18,8567.820313,8624.620117,8567.519531,8623.540039,8623.540039,48863200
6/12/18,8646.879883,8659.19043,8604.910156,8640.799805,8640.799805,40416400
6/13/18,8654.259766,8657.94043,8618.360352,8634.610352,8634.610352,45607700
6/14/18,8594.719727,8694.629883,8564.330078,8690.830078,8690.830078,57620700
6/15/18,8684.849609,8697.070313,8632.169922,8642.599609,8642.599609,123756600
6/18/18,8609.679688,8621.820313,8488.360352,8519.570313,8519.570313,44400400
6/19/18,8456.889648,8471.870117,8424.040039,8463.410156,8463.410156,65393100
6/20/18,8503.759766,8588.379883,8500.799805,8557.509766,8557.509766,62991600
6/21/18,8571.759766,8598.860352,8454.669922,8459.929688,8459.929688,50499200
6/22/18,8471.969727,8616.55957,8468.570313,8616.55957,8616.55957,43970700
6/25/18,8550.330078,8573.700195,8453.400391,8458.75,8458.75,52212600
6/26/18,8487.570313,8492.740234,8438.889648,8477.980469,8477.980469,45968000
6/27/18,8465.330078,8551.139648,8372.900391,8504.5,8504.5,56624100
6/28/18,8467.44043,8513.660156,8410.919922,8461.709961,8461.709961,50359800
6/29/18,8561.780273,8616.150391,8542.980469,8609.299805,8609.299805,69901400
7/2/18,8529.509766,8561.639648,8507.599609,8529.589844,8529.589844,47231600
7/3/18,8561.540039,8645.669922,8542.509766,8625.490234,8625.490234,46625500
7/4/18,8606.549805,8667.110352,8603.169922,8663.530273,8663.530273,38814200
7/5/18,8664.69043,8723.969727,8653.44043,8674.040039,8674.040039,38685900
7/6/18,8696.94043,8703.870117,8650,8697.419922,8697.419922,37642700
7/9/18,8725.299805,8766.580078,8714.320313,8759.919922,8759.919922,40119500
7/10/18,8768.5,8795.259766,8749.019531,8768.910156,8768.910156,35912200
7/11/18,8699.110352,8712.759766,8648.719727,8682.929688,8682.929688,43546700
7/12/18,8712.879883,8820.80957,8687.349609,8818.19043,8818.19043,50520500
7/13/18,8831.339844,8867.150391,8824.610352,8861.049805,8861.049805,40400500
7/16/18,8848.219727,8872.179688,8816.549805,8847.959961,8847.959961,41568900
7/17/18,8828.55957,8839.990234,8782.219727,8824.669922,8824.669922,36589000
7/18/18,8876.620117,8943.240234,8873.030273,8938.120117,8938.120117,43339000
7/19/18,8918.150391,8978.910156,8914.669922,8933.969727,8933.969727,51964800
7/20/18,8949.05957,8991.69043,8918.290039,8991.339844,8991.339844,58639300
7/23/18,8947.320313,8974.040039,8920.730469,8959.790039,8959.790039,42716200
7/24/18,8950.349609,9026.179688,8947.360352,9005.580078,9005.580078,57436500
7/25/18,8998.660156,9023.120117,8987.219727,9019.459961,9019.459961,45156600
7/26/18,9116.129883,9155.19043,9098.160156,9139.469727,9139.469727,53501400
7/27/18,9157.419922,9184.820313,9142.19043,9173.200195,9173.200195,42413800
7/30/18,9150.469727,9195.790039,9143.790039,9163.379883,9163.379883,32477300
7/31/18,9164.299805,9199.919922,9150.740234,9174.330078,9174.330078,55136700
8/2/18,9128.139648,9165.25,9116.139648,9155.570313,9155.570313,61696900
8/3/18,9163.889648,9174.259766,9127.160156,9158,9158,39492000
8/6/18,9166.25,9197.830078,9125.740234,9149.360352,9149.360352,40761800
8/7/18,9161.969727,9213.209961,9151.860352,9201.219727,9201.219727,35342200
8/8/18,9176.410156,9192.070313,9139.709961,9176.150391,9176.150391,30309700
8/9/18,9155.620117,9165.929688,9128.030273,9145.679688,9145.679688,29503300
8/10/18,9096.280273,9115.629883,9017.110352,9031.330078,9031.330078,44375400
8/13/18,8993.950195,9027.910156,8960.769531,9005.349609,9005.349609,37876900
8/14/18,9063.099609,9070.410156,8966.610352,9010.19043,9010.19043,33615500
8/15/18,9006.389648,9036.099609,8901.929688,8926.230469,8926.230469,42762500
8/16/18,8973.549805,9002.139648,8950.139648,8997.719727,8997.719727,40919700
8/17/18,9021.200195,9029.139648,8961.169922,9003.910156,9003.910156,38901700
8/20/18,9031.280273,9072.429688,9010.929688,9059.530273,9059.530273,30331400
8/21/18,9032.919922,9101.410156,9025.450195,9082.860352,9082.860352,34598700
8/22/18,9054.44043,9077.040039,9029.740234,9048.200195,9048.200195,35619600
8/23/18,9049.759766,9074.360352,9034.30957,9049.719727,9049.719727,34890200
8/24/18,9051.25,9075.879883,9019.370117,9052.900391,9052.900391,28483000
8/27/18,9101.660156,9108.200195,9045.080078,9098.700195,9098.700195,27322200
8/28/18,9114.75,9115.25,9057.610352,9084.259766,9084.259766,33609200
8/29/18,9087.410156,9088.389648,9043.400391,9083.839844,9083.839844,28523700
8/30/18,9054.379883,9065.530273,9005.759766,9042.05957,9042.05957,34604000
8/31/18,9012.080078,9012.080078,8964.709961,8973.55957,8973.55957,48994700
9/3/18,8971.200195,9003.469727,8962.410156,9003.469727,9003.469727,28721700
9/4/18,9034.5,9047.660156,8905.860352,8951.889648,8951.889648,42617900
9/5/18,8919.580078,8933.299805,8868.860352,8868.860352,8868.860352,56351300
9/6/18,8837.570313,8893.349609,8816.160156,8818.719727,8818.719727,38440400
9/7/18,8806.459961,8849.339844,8796.349609,8843.110352,8843.110352,48146400
9/10/18,8873.719727,8950.969727,8859.280273,8930.240234,8930.240234,40770900
9/11/18,8942.25,8962.650391,8888.870117,8914.94043,8914.94043,42453500
9/12/18,8930.879883,8983.519531,8930.879883,8960.129883,8960.129883,37687200
9/13/18,8955.69043,8997.459961,8948.69043,8960.080078,8960.080078,38764100
9/14/18,8982.80957,8987.19043,8942.55957,8970,8970,33021800
9/17/18,8937.519531,8960.070313,8899.839844,8936.709961,8936.709961,34094400
9/18/18,8922.969727,8956.639648,8874.450195,8915.870117,8915.870117,38980100
9/19/18,8927.700195,8961.030273,8905.349609,8939.849609,8939.849609,53138200
9/20/18,8951.660156,9006.740234,8946.599609,9000.80957,9000.80957,70552700
9/21/18,9049.599609,9059.290039,8994.299805,8995.379883,8995.379883,126817400
9/24/18,8986.910156,8993.780273,8933.200195,8946.219727,8946.219727,37862800
9/25/18,8959.219727,9031.259766,8954.959961,9021.610352,9021.610352,42536300
9/26/18,9005.790039,9083.080078,8990.950195,9080.139648,9080.139648,60826500
9/27/18,9040.80957,9123.379883,8998.05957,9112.219727,9112.219727,46985600
9/28/18,9083.389648,9112.570313,9030.320313,9087.990234,9087.990234,59146700
10/1/18,9094.280273,9155.650391,9084.219727,9127.049805,9127.049805,38402500
10/2/18,9076.570313,9090.459961,9050.5,9087.320313,9087.320313,50969000
10/3/18,9126.30957,9194.990234,9123.480469,9175.209961,9175.209961,42604700
10/4/18,9150.980469,9154.589844,9076.990234,9097.519531,9097.519531,49177500
10/5/18,9086.179688,9100.089844,9035.240234,9042.080078,9042.080078,47506600
